Número,Fecha de entrega,Fecha de cierre,Prioridad,Estado,Título,Cerrado por,Nombre de Aplicación,Categoría del sitio,Bdo Tipo de Solicitud,Tipo solici,Tipo de Solicitud
"RF771661","30/09/25 09:31:17","06/10/25 11:19:47","4 - Baja","Cerrado","Asignacion Nueva Contraseña","JSDIAZ","FIRST VISION","A","","",""
"RF771887","30/09/25 12:18:58","06/10/25 11:21:55","4 - Baja","Cerrado","DESBLOQUEO FIRST DARA","JSDIAZ","FIRST DATA","B","","",""
"RF772119","01/10/25 06:29:18","06/10/25 11:23:31","4 - Baja","Cerrado","Desbloqueo y asignación de clave","JSDIAZ","FIRST DATA","B","","",""
"RF772124","01/10/25 07:23:38","06/10/25 11:26:29","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","A","","",""
"RF772140","01/10/25 08:07:41","06/10/25 11:29:51","4 - Baja","Cerrado","NEXA_BPO DESBLOQUEO CON ASIGNACION DE NUEVA CLAVE USUARIO FIRST DATA","JSDIAZ","FIRST DATA","C","","",""
"RF772175","01/10/25 08:27:40","06/10/25 11:31:50","4 - Baja","Cerrado","DESBLQOUEO DE USUARIO FIRS DATA","JSDIAZ","FIRST DATA","B","","",""
"RF772181","01/10/25 08:31:07","06/10/25 11:33:28","4 - Baja","Cerrado","NEXA_ SOLICITUD DE DESBLOQUEO","JSDIAZ","FIRST DATA","C","","",""
"RF772209","01/10/25 09:01:08","06/10/25 11:34:44","4 - Baja","Cerrado","DESBLOQUEO  DE  USUARIO _ FIRST  DATA  _  ASESOR BDO _ NEXA  _","JSDIAZ","FIRST DATA","B","","",""
"RF772245","01/10/25 09:31:29","07/10/25 11:46:46","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO","JSDIAZ","FIRST DATA","A","","",""
"RF772408","01/10/25 11:30:25","06/10/25 11:35:51","4 - Baja","Cerrado","SOLICITUD DESBLOQUEO USUARIO","JSDIAZ","FIRST VISION","A","","",""
"RF772420","01/10/25 11:41:12","06/10/25 11:55:09","4 - Baja","Cerrado","****UGR DESBLOQUEO FIRST DATA ********UGR*************","JSDIAZ","FIRST DATA","A","","",""
"RF772422","01/10/25 11:42:13","07/10/25 11:48:48","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF772494","01/10/25 12:47:55","07/10/25 11:53:31","4 - Baja","Cerrado","DESBLOQUEO Y NUEVA CLAVE FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF772507","01/10/25 13:14:37","07/10/25 11:55:04","4 - Baja","Cerrado","DESBLOQUE DE FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF772511","01/10/25 13:21:54","07/10/25 11:56:12","4 - Baja","Cerrado","DESBLOQUEO Y CAMBIO DE CONTRASEÑA FIRTS DATA NEXA BPO","JSDIAZ","FIRST DATA","B","","",""
"RF772672","01/10/25 15:49:21","07/10/25 12:08:37","4 - Baja","Cerrado","NEXA BPO-DESBLOQUEO Y ASIGNACIÓN DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","B","","",""
"RF772747","01/10/25 17:08:58","10/10/25 11:24:31","4 - Baja","Cerrado","ASIGNACION USUARIO APLICATIVO FIRSH VISION","JSDIAZ","FIRST VISION","B","","",""
"RF772783","01/10/25 18:11:52","07/10/25 11:59:44","4 - Baja","Cerrado","DESBLOQUEO DE USUARION","JSDIAZ","FIRST DATA","A","","",""
"RF772959","02/10/25 10:01:42","07/10/25 11:57:57","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO DE FIRST VISION","JSDIAZ","FIRST VISION","A","","",""
"RF773044","02/10/25 11:11:25","10/10/25 11:30:40","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF773128","02/10/25 12:39:34","06/10/25 10:51:13","4 - Baja","Cerrado","DESBLOQUEO FIRSDATA UGR","JSDIAZ","FIRST DATA","A","","",""
"RF773135","02/10/25 12:54:03","07/10/25 12:01:03","4 - Baja","Cerrado","DESBLOQUEO USIARIO FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF773192","02/10/25 14:34:45","07/10/25 12:09:38","4 - Baja","Cerrado","NEXA_DESBLOQUEO FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF773270","02/10/25 15:44:33","07/10/25 12:05:38","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
